iteration,owner_loss,other_loss,u1,u2,u3
8,0.6799999999999999,0.77,5646.0,14997.0,7483.0
8,0.6799999999999999,0.78,5931.0,11793.0,6617.0
8,0.6799999999999999,0.79,7571.0,13496.0,6449.0
8,0.6799999999999999,0.8,6243.0,12516.0,5646.0
8,0.6799999999999999,0.81,7356.0,13978.0,4977.0
8,0.6799999999999999,0.8200000000000001,4635.0,12905.0,7091.0
8,0.6799999999999999,0.8300000000000001,3501.0,13199.0,6926.0
8,0.6799999999999999,0.8400000000000001,8855.0,12166.0,5998.0
8,0.6799999999999999,0.8500000000000001,2843.0,15360.0,5874.0
8,0.6799999999999999,0.8600000000000001,6286.0,15864.0,6467.0
8,0.6799999999999999,0.8700000000000001,6698.0,14632.0,5912.0
8,0.6799999999999999,0.88,3822.0,14037.0,8381.0
8,0.6799999999999999,0.89,3557.0,15286.0,5317.0
8,0.6799999999999999,0.9,6035.0,16922.0,6895.0
9,0.69,0.6,6647.0,10512.0,3466.0
9,0.69,0.61,4371.0,11190.0,4958.0
9,0.69,0.62,6506.0,11870.0,2400.0
9,0.69,0.63,7652.0,11691.0,4070.0
9,0.69,0.64,5201.0,12077.0,4426.0
9,0.69,0.65,3253.0,11648.0,5062.0
9,0.69,0.66,6327.0,11553.0,2445.0
9,0.69,0.6699999999999999,7623.0,12013.0,4128.0
9,0.69,0.6799999999999999,4807.0,12232.0,5778.0
9,0.69,0.69,5190.0,10571.0,2996.0
9,0.69,0.7,3780.0,12122.0,4482.0
9,0.69,0.71,6207.0,13274.0,3960.0
9,0.69,0.72,6769.0,12155.0,6321.0
9,0.69,0.73,5061.0,11674.0,6029.0
9,0.69,0.74,7138.0,12136.0,6139.0
9,0.69,0.75,4731.0,11227.0,6127.0
9,0.69,0.76,4832.0,13495.0,3014.0
9,0.69,0.77,4512.0,12917.0,6596.0
9,0.69,0.78,7136.0,13117.0,6566.0
9,0.69,0.79,5716.0,12006.0,4999.0
9,0.69,0.8,5581.0,12636.0,6020.0
9,0.69,0.81,6050.0,13971.0,4004.0
9,0.69,0.8200000000000001,4541.0,14228.0,5211.0
9,0.69,0.8300000000000001,3740.0,12085.0,8815.0
9,0.69,0.8400000000000001,6437.0,12723.0,6122.0
