iteration,owner_loss,other_loss,u1,u2,u3
6,0.66,0.8700000000000001,10387.0,7720.0,11470.0
6,0.66,0.88,9611.0,10853.0,11411.0
6,0.66,0.89,10197.0,10644.0,11427.0
6,0.66,0.9,10737.0,10142.0,12044.0
7,0.6699999999999999,0.6,8790.0,7965.0,6402.0
7,0.6699999999999999,0.61,7834.0,8854.0,6690.0
7,0.6699999999999999,0.62,8717.0,8405.0,6937.0
7,0.6699999999999999,0.63,8235.0,8325.0,7152.0
7,0.6699999999999999,0.64,7630.0,8821.0,7447.0
7,0.6699999999999999,0.65,10085.0,6827.0,7805.0
7,0.6699999999999999,0.66,8735.0,8317.0,8222.0
7,0.6699999999999999,0.6699999999999999,8058.0,8542.0,7838.0
7,0.6699999999999999,0.6799999999999999,9143.0,7121.0,8741.0
7,0.6699999999999999,0.69,7910.0,9978.0,7355.0
7,0.6699999999999999,0.7,10484.0,7585.0,7442.0
7,0.6699999999999999,0.71,8296.0,9453.0,8410.0
7,0.6699999999999999,0.72,9422.0,8202.0,9179.0
7,0.6699999999999999,0.73,9269.0,8626.0,8315.0
7,0.6699999999999999,0.74,8946.0,9014.0,8297.0
7,0.6699999999999999,0.75,9911.0,8479.0,8068.0
7,0.6699999999999999,0.76,8699.0,10238.0,8021.0
7,0.6699999999999999,0.77,10343.0,9176.0,8083.0
7,0.6699999999999999,0.78,9618.0,9642.0,9600.0
7,0.6699999999999999,0.79,9654.0,9479.0,9777.0
7,0.6699999999999999,0.8,9621.0,8041.0,10480.0
7,0.6699999999999999,0.81,10253.0,9553.0,9863.0
7,0.6699999999999999,0.8200000000000001,10675.0,8574.0,10141.0
7,0.6699999999999999,0.8300000000000001,8944.0,9993.0,10363.0
7,0.6699999999999999,0.8400000000000001,9607.0,10628.0,11389.0
7,0.6699999999999999,0.8500000000000001,10066.0,9934.0,11216.0
7,0.6699999999999999,0.8600000000000001,11312.0,9867.0,11400.0
7,0.6699999999999999,0.8700000000000001,9949.0,10097.0,11760.0
7,0.6699999999999999,0.88,9675.0,8984.0,11970.0
7,0.6699999999999999,0.89,10472.0,11062.0,10488.0
7,0.6699999999999999,0.9,9815.0,10613.0,11996.0
8,0.6799999999999999,0.6,9383.0,7696.0,6410.0
8,0.6799999999999999,0.61,9189.0,8419.0,6354.0
8,0.6799999999999999,0.62,7928.0,7659.0,7124.0
8,0.6799999999999999,0.63,7539.0,8352.0,7644.0
8,0.6799999999999999,0.64,9419.0,7259.0,7285.0
8,0.6799999999999999,0.65,9306.0,7889.0,7886.0
8,0.6799999999999999,0.66,9152.0,7907.0,7869.0
8,0.6799999999999999,0.6699999999999999,10310.0,6837.0,7913.0
8,0.6799999999999999,0.6799999999999999,8907.0,7845.0,7930.0
8,0.6799999999999999,0.69,8302.0,7884.0,8700.0
8,0.6799999999999999,0.7,9402.0,7729.0,8245.0
8,0.6799999999999999,0.71,8256.0,8784.0,8263.0
8,0.6799999999999999,0.72,9472.0,8716.0,8548.0
8,0.6799999999999999,0.73,9436.0,8095.0,8430.0
8,0.6799999999999999,0.74,7948.0,8885.0,9014.0
8,0.6799999999999999,0.75,8976.0,9863.0,9247.0
